date,open,high,low,close,volume,change_ratio
20150902,43600,44650,43600,44350,21346,-0.5605381165919282
20150903,44950,44950,43850,43900,24205,-1.0146561443066515
20150904,44050,44600,42900,43500,29340,-0.9111617312072893
20150907,44500,44500,43150,43200,20136,-0.6896551724137931
20150908,42850,43700,42000,42450,26079,-1.7361111111111112
20150909,43200,46700,42800,45500,162470,7.1849234393404
20150910,44750,45700,44200,45700,51730,0.43956043956043955
20150911,45900,46150,42800,45450,28055,-0.5470459518599562
20150914,45450,45950,44700,44800,20568,-1.4301430143014302
20150915,44450,45250,44450,45200,22367,0.8928571428571428
20150916,45200,46100,44900,45550,34977,0.7743362831858407
20150917,45700,45750,44750,44800,48496,-1.646542261251372
20150918,44500,45250,43900,43900,99082,-2.0089285714285716
20150921,44350,45650,44050,44150,91117,0.5694760820045558
20150922,44500,44900,44050,44300,57900,0.33975084937712347
20150923,44000,44500,43100,43150,43914,-2.595936794582393
20150924,43250,43500,43050,43050,33522,-0.2317497103128621
20150925,43000,43450,42250,42700,70756,-0.8130081300813009
20150930,43300,43400,42300,42600,60541,-0.234192037470726
20151001,42750,43150,42600,42700,55587,0.2347417840375587
20151002,42800,43400,42600,43200,46820,1.1709601873536302
20151005,43700,43900,42600,42750,49139,-1.0416666666666665
20151006,42800,43000,42400,42450,37265,-0.7017543859649122
20151007,42250,42500,42000,42200,30590,-0.5889281507656066
20151008,42250,42950,42200,42500,25912,0.7109004739336493
20151012,42500,42950,42450,42800,28176,0.7058823529411765
20151013,42900,43000,42400,42450,37431,-0.8177570093457943
20151014,42550,44350,42350,43250,59362,1.884570082449941
20151015,43250,43700,43050,43700,34527,1.0404624277456647
20151016,43700,43800,43300,43300,20752,-0.9153318077803204
20151019,43550,43550,42850,43300,23509,0.0
20151020,42900,43300,42000,42600,49737,-1.6166281755196306
20151021,42450,42500,42100,42250,25398,-0.8215962441314555
20151022,43500,43900,42450,42800,67944,1.301775147928994
20151023,43100,43450,42350,42750,52074,-0.11682242990654204
